id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1
question 42,What is the purpose of the MCImp-MC_ARCH work item? [3GPP Release 14],To specify a common functional architecture for MCVideo,To specify a common functional architecture for MCData,To specify a common functional architecture for all mission critical services,To specify a common functional architecture for MCPTT only,,option 3: To specify a common functional architecture for all mission critical services,The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services.,Standards overview,42,3,"

The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services to support on-network and off-network operations. This common functional architecture includes the common services core functions and certain generic mechanisms (e.g. affiliation) for MCPTT, MCVideo and MCData services to be uniformly developed. This work item enables the re-use of the common services by other mission critical services not limited only to MCPTT."
question 45,What should the UE consider if it cannot detect any cell meeting the S criterion on a frequency for sidelink operation? [3GPP Release 17],Out-of-coverage for sidelink operation on that frequency,Out-of-coverage for V2X sidelink communication on that frequency,Out-of-coverage for NR sidelink communication on that frequency,In-coverage for NR sidelink communication on that frequency,In-coverage for sidelink operation on that frequency,option 1: Out-of-coverage for sidelink operation on that frequency,"If the UE cannot detect any cell on a frequency meeting the S criterion, it shall consider itself to be out-of-coverage for sidelink operation on that frequency.",Standards specifications,45,1,"1>	else if out of coverage on the concerned frequency for NR sidelink discovery:

2>	if the UE is acting as L3 U2N Relay UE; or"
question 46,What is the purpose of the Member UE selection assistance functionality hosted by NEF? [3GPP Release 18],To provide filtering criteria for AF's inputs,To collect corresponding data from relevant 5GC NFs,To select member UEs for AF's application operations,To provide QoS for the updated list of UEs,To assist the AI/ML application server in scheduling UEs,option 3: To select member UEs for AF's application operations,The Member UE selection assistance functionality hosted by NEF is used to assist the AF in selecting member UEs that can be used in application operations such as AI/ML based applications.,Standards specifications,46,3,"The Member UE selection assistance functionality shall be hosted by NEF, and the features of the Member UE selection assistance functionality hosted by the NEF include (see clause 4.15.13 of TS 23.502 [3] for details of Member UE selection procedures):"
question 49,When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],When UE is in CM-REJECTED state,When UE is in CM-IDLE state,When UE is in CM-REGISTERED state,When UE is in CM-DISCONNECTED state,When UE is in CM-CONNECTED state,option 5: When UE is in CM-CONNECTED state,"If the AMF receives start and stop times, it sends a message to the NG-RAN to enable or disable the 5G access stratum time distribution according to the expiry of start and stop times when the UE is in CM-CONNECTED state.",Standards specifications,49,5,"

The optional management of 5G access stratum time distribution enables the PCF for the UE to instruct the AMF about the 5G access stratum time distribution parameters, i.e. 5G access stratum time distribution indication (enable, disable). Optionally, when 5G access stratum time distribution or (g)PTP time synchronization is enabled, the PCF for the UE instructs the AMF about the Uu Time synchronization error budget. Optionally, when 5G access stratum time distribution is enabled, the PCF for UE instructs the AMF about the clock quality reporting control information (clock quality detail level, clock quality acceptance criteria)."
question 53,When can target UEs be positioned for lawful interception services? [3GPP Release 17],Only if the target UE user authorizes it,Only if the privacy attribute value allows positioning,Under all circumstances required by local regulatory requirements,Never,,option 3: Under all circumstances required by local regulatory requirements,Target UEs can be positioned for lawful interception services under all circumstances required by local regulatory requirements.,Standards specifications,53,3,"

In the Ranging/Sidelink Positioning service, a Target UE could be out of 3GPP coverage via Uu interface and needs assistance from another UE e.g. a Located UE which is in 3GPP coverage via Uu interface or a Target UE could be in 3GPP coverage via Uu interface but needs assistance from another UE which is out of 3GPP coverage. "
question 60,What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],Multicast DCI formats,Broadcast DCI formats,Unicast DCI formats,PUCCH DCI formats,,option 2: Broadcast DCI formats,DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI for broadcast scheduling PDSCH receptions are referred to as broadcast DCI formats.,Standards specifications,60,2,"searchSpaceMCCH and searchSpaceMTCH for a DCI format 4_0 with CRC scrambled by a MCCH-RNTI or a G-RNTI for broadcast, on the primary cell of the MCG"
question 70,What kind of access can enterprise UEs have to non-public networks? [3GPP Release 17],Access to the non-public network of the enterprise only,Access to both a non-public network and a PLMN,Access to a PLMN only,Access to a PLMN and a non-public network via a different network,Access to a PLMN and a non-public network via multiple subscriptions,option 2: Access to both a non-public network and a PLMN,"Some enterprise UEs can be restricted to only access the non-public network of the enterprise, while others can access both a non-public network and a PLMN where specifically allowed.",Standards specifications,70,2,"NOTE 2:	Non-public networks can use 3GPP authentication methods, identities, and credentials for a UE to access network but are also allowed to utilize non-AKA based authentication methods such as provided by the EAP framework."
question 73,What is the purpose of the TRP Measurement Grid? [3GPP Release 18],To calculate the CDF of the EIRP/EIS distribution in 3D,To determine the total power radiated by the DUT in the TX beam peak direction,To determine the TX and RX beam peak direction,To perform TRP measurements taken on the sampling grid,To perform 3D Throughput/RSRP/EIS scans for RX beam peak direction,option 4: To perform TRP measurements taken on the sampling grid,The TRP Measurement Grid is used to perform TRP measurements taken on the sampling grid to determine the total power radiated by the DUT in the TX beam peak direction.,Standards specifications,73,4,Table 5.1.1-1: Applicability for TRP measurement grids
question 74,What action is necessary to get access to services in Idle mode? [3GPP Release 17],Camping on a cell,Performing location registration,Performing CN type selection,Performing RNA update,All of the above,option 1: Camping on a cell,Camping on a cell is necessary to get access to services in Idle mode.,Standards specifications,74,1,"When the UE is in CM-IDLE state over non-3GPP access, the Service Request procedure via Untrusted non-3GPP Access is as described in clause 4.2.3.2 (UE Triggered Service Request) with the following exceptions:"
question 76,How does EC-GSM-IoT improve coverage performance for Cellular IoT devices? [3GPP Release 14],By increasing the transmit power,By reducing the MS complexity,By using modified channel coding schemes,By adding more timeslot resources,,option 3: By using modified channel coding schemes,EC-GSM-IoT improves the coverage performance of Cellular IoT devices by using modified channel coding schemes.,Standards overview,76,3,"

EC-GSM-IoT improves the coverage performance of Cellular IoT devices by 20 dB compared to EGPRS along and enables long battery life time achieved by energy efficient methods over the radio interface. The extended coverage is achieved by a high number of blind physical layer transmissions along with modified channel coding schemes."
question 80,What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],The Target NF/NF Service receiving a notification about the decommissioning,The Source NF informing the NRF about the decommissioning,The Source NF sending a request to the Target NF/NF Service,The Target NF/NF Service receiving a request from the Source NF/NF Service,The Target NF/NF Service setting up necessary information about the new context location,option 3: The Source NF sending a request to the Target NF/NF Service,"When triggered, the Source NF/NF Service acting as an NF Service Consumer sends its Context to the Target NF/NF Service acting as an NF Service Producer by sending a request.",Standards specifications,80,3,"This procedure is invoked by the TSCTSF to notify the NF service consumer when a certain, previously subscribed, application session context event occurs, as defined in 3GPP TS 23.501 [2], 3GPP TS 23.502 [3] and 3GPP TS 23.503 [19]."
question 87,Which 5G vertical domain is the maritime domain a part of? [3GPP Release 16],Public safety domain,Automotive domain,Factory automation domain,Satellite industrial domain,None of the above,option 5: None of the above,The maritime domain is one of the 5G vertical domains in 3GPP.,Standards overview,87,5,"

The maritime domain, one of the 5G vertical domains in 3GPP, is moving forward with the digitalisation and mobilisation of commercial as well as safety fields. Legacy 3GPP-based technologies and solutions can be beneficial to the digitalisation and mobilisation of the maritime domain though some of the legacy 3GPP enabling technologies and solutions may not be able to fully support the performances required by the maritime domain. The maritime radio environment was not originally considered by 3GPP when the technical specifications and solutions were standardised for LTE and 5G. "
question 96,What is the purpose of the User Configuration mechanism in the IMS Multimedia Telephony service? [3GPP Release 17],To support synchronization of communication logs between multiple devices,To indicate which identities are active or inactive on a specific UE,To provide user preferences for media handling capabilities,To modify the Caller Identity Analytics function,,option 2: To indicate which identities are active or inactive on a specific UE,The User Configuration mechanism allows an authorized user to indicate which identities are active or inactive on a specific UE.,Standards specifications,96,2,"The UE may support being configured for the RequestTimeout timer with the operator's IMS multimedia telephony communication service policy as specified in 3GPP TS 24.275 [36].

M.2.1.2A	Registration and authentication

If:"
question 100,What is the purpose of packet buffering in Edge Relocation? [3GPP Release 18],To prevent packet loss during EAS migration,To optimize user plane latency,To enable simultaneous connectivity over source and target PSA,To eliminate the need for EAS IP replacement,,option 1: To prevent packet loss during EAS migration,Packet buffering is used in Edge Relocation to buffer uplink packets and prevent packet loss when the application client sends UL packets to a new EAS before it is ready to handle them.,Standards specifications,100,1,"Support of uplink packets buffering for low packet loss during EAS relocation as specified in clause 6.3.5 of 3GPP TS 23.548 [69] is defined in clause 5.32.3.

5.33.3	Edge Relocation using EAS IP address and Port number Replacement"
question 101,What does the Multi-Identity (MiD) service enable? [3GPP Release 16],A user to use different UEs registered under different public user identities,A user to use different identities on a single UE,Call distribution to different members of a group or firm,A user to share identities with another user,A user to use different UEs that are registered under the same public user identity,option 2: A user to use different identities on a single UE,The Multi-Identity (MiD) service enables a user to use different identities on a single UE.,Standards overview,101,2,The Multi-Identity (MiD) service is an operator specific service which enables a user to use different identities. A served user can use a single UE to receive calls addressed to any of its identities and to make calls using any of its identities.
question 108,What is the maximum number of PDU Sessions? [3GPP Release 17],128,32,8,256,64,option 4: 256,The maximum number of PDU Sessions is 256.,Standards specifications,108,4,6.4.1.5	Handling the maximum number of established PDU sessions
question 111,Which identity is used for indication of pre-emption in the downlink? [3GPP Release 17],C-RNTI,CI-RNTI,CS-RNTI,INT-RNTI,P-RNTI,option 4: INT-RNTI,INT-RNTI is used for indication of pre-emption in the downlink.,Standards specifications,111,4,"Further details of this feature are described in 3GPP TS 22.042 [17].

A.17	Network's indication of alerting in the UE"
question 121,What is the purpose of the group identifier called 'External Group ID'? [3GPP Release 14],To identify individual UEs within a group,To resolve the group ID to individual UE ID,To reduce signalling for sending event reports of group members,To indicate the time for which monitoring event reporting can be aggregated,To handle group-based enhancements in the network capability exposure function,option 2: To resolve the group ID to individual UE ID,The group identifier 'External Group ID' is used to identify the group of UEs and is resolved to individual UE ID by the HSS or PCRF.,Standards specifications,121,2,"An External Group Identifier identifies a group made up of one or more subscriptions associated to a group of IMSIs.

The External Group Identifier shall have the form groupname@realm as specified in clause 2.1 of IETF RFC 4282 [53]."
question 123,When can the V-SMF delete the DNS context from the selected V-EASDF? [3GPP Release 18],When the request for HR-SBO is not authorized,When the V-SMF selects a new V-EASDF,When the UE initiates a Mobility Registration Update procedure,When the AF triggers EAS rediscovery,,option 1: When the request for HR-SBO is not authorized,"If the request for HR-SBO is not authorized and a DNS context had been created, the V-SMF deletes the DNS context from the selected V-EASDF.",Standards specifications,123,1,"

12.	(V-SMF change or removal): When the S-AMF invokes Nsmf_PDUSession_ReleaseSMContext Request to inform the Source V-SMF to release the SM context of the PDU Session, e.g. at step 3a or 11a in Figure 4.23.7.3.3-1 of TS 23.502 [3], the DNS context in the old (V-)EASDF is removed by the (source) V-SMF using Neasdf_DNSContext_Delete service."
question 135,What does a UE determine when selecting a power for an S-SS/PSBCH block transmission occasion? [3GPP Release 17],Value of dl-P0-PSBCH-r16,Value of dl-Alpha-PSBCH,Number of resource blocks for a S-SS/PSBCH block transmission,Value of dl-P0-PSBCH-r17,"Value of dl-P0-PSBCH-r16 if provided, else dl-Alpha-PSBCH","option 5: Value of dl-P0-PSBCH-r16 if provided, else dl-Alpha-PSBCH","A UE determines a power for an S-SS/PSBCH block transmission occasion based on the value of dl-P0-PSBCH-r16 if provided, else dl-Alpha-PSBCH.",Standards specifications,135,5,"16.2	Power control

16.2.0	S-SS/PSBCH blocks

A UE determines a power  for an S-SS/PSBCH block transmission occasion in slot , in the anchor RB-set if applicable, on active SL BWP  of carrier  as

	 [dBm]

where

is defined in [8-1, TS 38.101-1]"
question 140,What is supported in enhanced TTI bundling compared to Rel-13 CE mode A in eMTC? [3GPP Release 14],UL asynchronous HARQ transmission,Different repetition levels of scheduled PUSCH,Bundle frequency hopping,Multi-subframe channel estimation,HARQ process ID,option 2: Different repetition levels of scheduled PUSCH,"Enhanced TTI bundling supports additional repetition numbers, including 12 and 24, compared to Rel-13 CE mode A in eMTC.",Standards overview,140,2,"

The necessary signaling for the LTE positioning methods E-CID and OTDOA is supported already in Rel-13 for Cat-M1 and other UEs in CE mode but this work item introduces full standard support by also including measurement performance requirements. Also, additional OTDOA enhancements are introduced in order to take into account the limited UE bandwidth of Cat-M UEs and the low signal-to-noise ratio (SNR) operating point of UEs in CE mode. Each"
question 141,What is the purpose of the MasterInformationBlockSidelink message? [3GPP Release 17],To request UE sidelink capabilities,To indicate the failure of a PC5 RRC AS reconfiguration,To transfer UE radio access capabilities,To include sidelink DRX assistance information used to determine the sidelink DRX configuration,To include the system information transmitted by a UE via SL-BCH,option 5: To include the system information transmitted by a UE via SL-BCH,The purpose of the MasterInformationBlockSidelink message is to include the system information transmitted by a UE via SL-BCH.,Standards specifications,141,5,"The UE shall set the contents of the MasterInformationBlockSidelink message as follows:

1>	if in coverage on the frequency used for the NR sidelink communication/positioning as defined in TS 38.304 [20].

2>	set inCoverage to true;"
question 143,What is the indication used to invoke the terminal application in the peer end of a multimedia call? [3GPP Release 18],H.243 information,H.223 and H.245 information,Call Control Capabilities information,H.324 information,,option 4: H.324 information,"In the peer end of a multimedia call, the H.324 information is used to invoke the terminal application.",Standards specifications,143,4,"

At the multimedia call setup the required call type, 3G-324M, is indicated, for the network to be able to invoke appropriate interworking functionality. In the peer end the H.324 information is used to invoke the terminal application. In addition to H.324 indication the terminal must select Information Transfer Capability (ITC) for the multimedia call. The 'correct' ITC depends on the peer end and the transporting networks; an all-ISDN call is a UDI/RDI call, and a call, which involves PSTN, is an analog ""3.1 kHz audio"" call."
question 146,What is the role of the bearer control function? [3GPP Release 18],To provide interfaces for supplementary services,To define the characteristics of bearers,To assign and release bearers for a call,To enable subscribers to control services,To adapt bearers for fixed network use,option 3: To assign and release bearers for a call,The bearer control function is responsible for the assignment and release of bearers for a call.,Standards specifications,146,3,Table 10.5.115/3GPP TS 24.008: Bearer capability information element
question 149,What is the purpose of interworking between a 5G core network and an EPC? [3GPP Release 17],To support home network provided data connectivity,To preserve IP address for PS service,To provide support for services in the home network,To support mobility procedures with minimum impact to the user experience,,option 4: To support mobility procedures with minimum impact to the user experience,The 5G system shall support mobility procedures between a 5G core network and an EPC with minimum impact to the user experience.,Standards specifications,149,4,Supporting an MA PDU Session with a 3GPP access leg over EPC:
question 152,What does the Relaxed monitoring for cell reselection feature in NB-IoT allow the UE to do? [3GPP Release 15],Avoid monitoring neighbouring cells for 24 hours in stationary or non-changing network topology,Request NPUSCH resources for BSR transmission,Reduce system acquisition time for the UE,Support small cell deployments with lower maximum transmit power,Improve the accuracy of narrowband measurement,option 1: Avoid monitoring neighbouring cells for 24 hours in stationary or non-changing network topology,The Relaxed monitoring for cell reselection feature allows the UE to avoid monitoring neighbouring cells for 24 hours in cases where the UE is stationary and/or the network topology is not changing. This helps to extend UE battery life.,Standards overview,152,1,"

Relaxed monitoring for cell reselection: When this feature is enabled and the criteria for relaxed monitoring are fulfilled, the UE can reduce its neighbor cell measurements to as seldom as every 24 hours. This can reduce the power consumption substantially especially for stationary UEs in challenging coverage conditions."
question 159,What happens during session termination in online charging? [3GPP Release 18],The resource usage is debited from the subscriber account immediately,The network element sends an interim charging event,A certain amount of units is blocked on the subscriber's account,The CDF produces a matching CDR,The value of unused quota is returned to the subscriber's account,option 5: The value of unused quota is returned to the subscriber's account,"During session termination in online charging, the value of any unused quota is returned by the network element to the OCS/CCS, which then returns it to the subscriber's account.",Standards specifications,159,5,The following figure 5.2.2.13.4.1 describes a PDU session charging release via an untrusted non-3GPP access network scenario based on figure 4.12.17.1 in TS 23.502 [201] description:
question 173,Can any party in a multiparty call undergo voice call continuity? [3GPP Release 18],"Yes, any party in a multiparty call can undergo voice call continuity","No, only the calling party can undergo voice call continuity","No, only the called party can undergo voice call continuity","No, voice call continuity is not supported for multiparty calls",,"option 1: Yes, any party in a multiparty call can undergo voice call continuity","It is possible for any party in a multiparty call to undergo voice call continuity and stay in the call. The entire multiparty call can be terminated when the served mobile subscriber releases, even if they are connected via IMS.",Standards specifications,173,1,"

It shall be possible for any party in a multiparty call to undergo VCC and to stay in the call. It shall be possible to terminate the entire multiparty call when the served mobile subscriber releases even if she is connected via the IMS after undergoing VCC."
question 179,What is covered by enhanced application layer support for V2X services? [3GPP Release 17],PC5 radio resource control,Advanced V2X services,SDAP layer enhancements,V2X communication over NR PC5 reference point,Tele-Operated Driving,option 2: Advanced V2X services,"Enhanced application layer support for V2X services covers the support of advanced V2X services, considering existing stage 1 and stage 2 work within 3GPP and V2X application requirements defined outside 3GPP.",Standards overview,179,2,"

This is an enhancement to the features specified for the application layer support for V2X applications in TS 23.286 [1]. The enhancement features support advanced V2X services (e.g. Tele-Operated Driving, HD Maps) considering the existing stage 1 and stage 2 work within 3GPP related to V2X enhancements in TS 22.185 [2], TS 22.186 [3], TS 23.285 [4] and TS 23.287 [5], as well as V2X application requirements defined outside 3GPP (e.g. 5GAA, ETSI ITS, SAE). "
question 184,What is the purpose of the UE Capability Management Function (UCMF)? [3GPP Release 16],To store UE radio capability IDs,To assign UE radio capability IDs,To provision UE radio capability IDs,All of the above,,option 4: All of the above,"The UE Capability Management Function (UCMF) is used to store, assign, and provision UE radio capability IDs.",Standards overview,184,4,UE Radio Capability IDs and the mapping to the corresponding UE radio capabilities are stored in a new function called the UE Capability Management Function (UCMF) in the CN. The UCMF is used for:
question 185,How does a non-supporting UE select a core network operator to serve it in a shared network? [3GPP Release 17],The UE selects an operator from the available CN operators.,The shared network selects an operator for the UE.,The RAN routes the UE to an available CN node.,The BSC/RNC/eNodeB relays the chosen operator to the core network node.,,option 2: The shared network selects an operator for the UE.,A non-supporting UE in a shared network has the operator selected by the shared network.,Standards specifications,185,2,"

Network operators of 3GPP defined non-terrestrial network, have to know reliably the location information of a UE attached to the network in order to select the appropriate core network. Once the appropriate core network has been selected for a UE, it is possible to support some services subject to national regulations or other operational constraints."
question 187,"For PSFCH transmission with HARQ-ACK information, how are the PRBs allocated? [3GPP Release 17]",In an ascending order of the PRB index only,In an ascending order of the cyclic shift pair index only,In an ascending order of both the PRB index and the cyclic shift pair index,In a random order,,option 3: In an ascending order of both the PRB index and the cyclic shift pair index,"For PSFCH transmission with HARQ-ACK information, the PRBs are allocated in an ascending order of both the PRB index and the cyclic shift pair index.",Standards specifications,187,3,"Additional PDSCH scheduling delay for 14-HARQ processes in DL for LTE-MTC

Figure 1: PDSCH transmission with 10 HARQ processes for HD-FDD Cat. M1 UEs"
question 188,What determines the energy detection threshold in channel access procedures? [3GPP Release 17],The maximum eNB/gNB output power in dBm for the channel,The single channel bandwidth in MHz,The absence of any other technology sharing the channel,All of the above,,option 4: All of the above,"The energy detection threshold in channel access procedures is determined by the maximum eNB/gNB output power, single channel bandwidth, and the absence of any other technology sharing the channel.",Standards specifications,188,4,"Study, and if needed specify, energy detection threshold enhancement

Radio interface protocol architecture and procedures [RAN2]:"
question 191,What does the Load-Balancing steering mode do? [3GPP Release 17],Splits the traffic of a data flow across 3GPP and non-3GPP accesses,Balances the load on the core network nodes,Restricts the UE to a single access type,Improves network performance measurements,,option 1: Splits the traffic of a data flow across 3GPP and non-3GPP accesses,The Load-Balancing steering mode splits the traffic of a data flow across 3GPP and non-3GPP accesses in both uplink and downlink directions separately.,Standards overview,191,1,"

Load-Balancing without pre-defined split percentages: This introduces enhancements to the Load-Balancing steering mode, which is a steering mode that splits the traffic of a data flow (in uplink and downlink direction separately) across the 3GPP and the non-3GPP accesses. In Rel-16, the network always provides split percentages (referred to as pre-defined or fixed percentages), e.g., 20% on 3GPP access, 80% on non-3GPP access. In Rel-17, however, the network may provide an ""autonomous load-balance indicator"" in which case the UE and the UPF can freely and independently select their own percentages for each access type. The selected percentages may change over time, e.g., based on the RTT measurements. The UE and the UPF typically select the percentages in a way that maximizes the aggregated throughput. This means that using a load-balancing steering mode with the ""autonomous load-balance indicator"" can maximize the throughput of a given data flow in the uplink and in the downlink direction."
question 194,What does the home environment need to provide to the visited network when allowing a subscriber to roam to different domains? [3GPP Release 18],Service data,Authentication data,Subscription data,Capabilities data,Roaming agreement data,option 3: Subscription data,"The document states that when an operator allows a subscriber to roam to different domains, the home environment needs to provide subscription data to the visited network.",Standards specifications,194,3,"

NOTE: 	When an operator allows a subscriber to roam to different domains, the home environment needs to provide subscription data to the visited network . The mapping between service data of the different domains is not standardised; it is determined by the home environment and may be influenced by roaming agreements."
question 195,What does VarConnEstFailReportList include? [3GPP Release 17],Information about connection resume successes,Information about connection establishment successes,Information about connection resume failures,Information about connection establishment failures,Information about successful handovers,option 4: Information about connection establishment failures,VarConnEstFailReportList includes a list of the connection establishment failure and/or connection resume failure information.,Standards specifications,195,4,"VarConnEstFailReportList-r17 ::= SEQUENCE {

    connEstFailReportList-r17        SEQUENCE (SIZE (1..maxCEFReport-r17)) OF VarConnEstFailReport-r16

}

-- TAG-VARCONNESTFAILREPORTLIST-STOP

-- ASN1STOP

–	VarEventID"
question 198,Which interface is used to transfer short messages between the SGSN and SMS-GMSC/SMS-IWMSC? [3GPP Release 17],Gn/Gp-interface,Gr-interface,Gs-interface,Gb-interface,Gd-interface,option 5: Gd-interface,The Gd-interface is used to transfer short messages between the SGSN and SMS-GMSC/SMS-IWMSC.,Standards specifications,198,5,"The Gdd interface enables the transfer of short messages between the SGSN, the SMS-IWMSC, the SMS-GMSC and the SMS Router, and the alerting of the SMS-GMSC by the SGSN (possibly via an SMS Router) as described in 3GPP TS 23.040 [3]."
question 203,What does the RRC protocol offer to upper layers? [3GPP Release 17],Broadcast of common control information,Notification of UEs in RRC_IDLE,Transfer of dedicated signalling,Broadcast of positioning assistance data,Transfer of application layer measurement configuration and reporting,option 1: Broadcast of common control information,The RRC protocol offers the service of broadcasting common control information to upper layers.,Standards specifications,203,1,"4.3.1	Services provided to upper layers

The RRC protocol offers the following services to upper layers:

Broadcast of common control information;

Notification of UEs in RRC_IDLE, e.g. about a mobile terminating call;"
