id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1,context_2,context_3,context_4,context_5
question 45,What should the UE consider if it cannot detect any cell meeting the S criterion on a frequency for sidelink operation? [3GPP Release 17],Out-of-coverage for sidelink operation on that frequency,Out-of-coverage for V2X sidelink communication on that frequency,Out-of-coverage for NR sidelink communication on that frequency,In-coverage for NR sidelink communication on that frequency,In-coverage for sidelink operation on that frequency,option 1: Out-of-coverage for sidelink operation on that frequency,"If the UE cannot detect any cell on a frequency meeting the S criterion, it shall consider itself to be out-of-coverage for sidelink operation on that frequency.",Standards specifications,45,1,"If the UE detects at least one cell on the frequency which UE is configured to perform sidelink operation on fulfilling the S criterion in accordance with clause 11.4.1, it shall consider itself to be in-coverage for sidelink operation on that frequency. If the UE cannot detect any cell on that frequency meeting the S criterion, it shall consider itself to be out-of-coverage for sidelink operation on that frequency.","

If the UE detects at least one cell on the frequency which UE is configured to perform NR sidelink communication on fulfilling the S criterion in accordance with clause 11.4.1, it shall consider itself to be in-coverage for NR sidelink communication on that frequency. If the UE cannot detect any cell on that frequency meeting the S criterion, it shall consider itself to be out-of-coverage for NR sidelink communication on that frequency.","If the UE detects at least one cell on the frequency which UE is configured to perform V2X sidelink communication on fulfilling the S criterion in accordance with clause 8.2.1, it shall consider itself to be in-coverage for V2X sidelink communication on that frequency. If the UE cannot detect any cell on that frequency meeting the S criterion, it shall consider itself to be out-of-coverage for V2X sidelink communication on that frequency.","

If the UE detects at least one cell on the frequency which UE is configured to perform NR sidelink communication/discovery and ranging/sidelink positioning on fulfilling the S criterion in accordance with clause 8.2.1, it shall consider itself to be in-coverage for NR sidelink communication/discovery and ranging/sidelink positioning on that frequency. If the UE cannot detect any cell on that frequency meeting the S criterion, it shall consider itself to be out-of-coverage for NR sidelink communication/discovery and ranging/sidelink positioning on that frequency.","

2>	if the cell used for V2X sidelink communication on the concerned frequency meets the S-criteria as defined in TS 36.304 [4]:"
question 46,What is the purpose of the Member UE selection assistance functionality hosted by NEF? [3GPP Release 18],To provide filtering criteria for AF's inputs,To collect corresponding data from relevant 5GC NFs,To select member UEs for AF's application operations,To provide QoS for the updated list of UEs,To assist the AI/ML application server in scheduling UEs,option 3: To select member UEs for AF's application operations,The Member UE selection assistance functionality hosted by NEF is used to assist the AF in selecting member UEs that can be used in application operations such as AI/ML based applications.,Standards specifications,46,3,"

The Member UE selection assistance functionality shall be hosted by NEF, and the features of the Member UE selection assistance functionality hosted by the NEF include (see clause 4.15.13 of TS 23.502 [3] for details of Member UE selection procedures):","description: member UE selection assistance functionality is supported by NEF or not

          schema:","

Those solutions that are related to the selection of FL member UEs can be further grouped into two groups depending on whether a solution introduces a new so called FL Member Selection Assistance Functionality or not. Here the new functionality can be defined as a functionality that is hosted by one of 5GC NFs (i.e., NEF, NWDAF or a new NF) and receives a request from the AIML AF to provide a list of candidate UEs based on the request from the AF to perform FL member selection. The 5GC NF offering the new functionality then triggers the corresponding 5GC procedures to derive the set of candidate UE list as part of the assistance to be reported back to the AIML AF.",Capability of NEF to support member UE selection assistance functionality.,"

Service description: The service can be used by the consumer to subscribe or unsubscribe to the Member UE selection assistance information, or to receive notifications on the Member UE selection assistance information, from the NEF. See Table 4.15.13.2-1 for the Member UE filtering criteria."
question 49,When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],When UE is in CM-REJECTED state,When UE is in CM-IDLE state,When UE is in CM-REGISTERED state,When UE is in CM-DISCONNECTED state,When UE is in CM-CONNECTED state,option 5: When UE is in CM-CONNECTED state,"If the AMF receives start and stop times, it sends a message to the NG-RAN to enable or disable the 5G access stratum time distribution according to the expiry of start and stop times when the UE is in CM-CONNECTED state.",Standards specifications,49,5,"

Figure 6.7.3.2a-1: 5G access stratum time distribution configuration with Requested Coverage Area where UE's presence is obtained via TSCTSF triggered deferred 5GC-MT-LR",Figure 6.7.3.2a-1: 5G access stratum time distribution configuration with Requested Coverage Area where UE's presence is obtained via TSCTSF triggered deferred 5GC-MT-LR,4.15.9.5.2	5G access stratum time distribution status reporting to the UE,5.4.2.6.2	Notification about the 5G access stratum time distribution events,Notification about the 5G Access Stratum Time Distribution events
question 53,When can target UEs be positioned for lawful interception services? [3GPP Release 17],Only if the target UE user authorizes it,Only if the privacy attribute value allows positioning,Under all circumstances required by local regulatory requirements,Never,,option 3: Under all circumstances required by local regulatory requirements,Target UEs can be positioned for lawful interception services under all circumstances required by local regulatory requirements.,Standards specifications,53,3,"3GPP

Release 14	102	3GPP TR 21.914 V14.0.0 (2018-05)

13.2.16  Lawful Interception Rel-14","[5]	3GPP TR 33.929: ""Lawful Interception (LI) Implementation Guidance"".","

The present document specifies both the architectural and functional system requirements for Lawful Interception (LI) in 3GPP networks. The present document provides an LI architecture supporting both network layer based and service layer based Interception.",UE assisted and UE based positioning procedure (see clause 6.11.1 of 3GPP TS 23.273 [42]),UE assisted and UE based positioning procedure (see clause 6.11.1 of 3GPP TS 23.273 [42])
question 60,What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],Multicast DCI formats,Broadcast DCI formats,Unicast DCI formats,PUCCH DCI formats,,option 2: Broadcast DCI formats,DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI for broadcast scheduling PDSCH receptions are referred to as broadcast DCI formats.,Standards specifications,60,2,"DCI	Downlink Control Information

DCP	DCI with CRC scrambled by PS-RNTI

DFN	Direct Frame Number

DL	Downlink",,,,
question 70,What kind of access can enterprise UEs have to non-public networks? [3GPP Release 17],Access to the non-public network of the enterprise only,Access to both a non-public network and a PLMN,Access to a PLMN only,Access to a PLMN and a non-public network via a different network,Access to a PLMN and a non-public network via multiple subscriptions,option 2: Access to both a non-public network and a PLMN,"Some enterprise UEs can be restricted to only access the non-public network of the enterprise, while others can access both a non-public network and a PLMN where specifically allowed.",Standards specifications,70,2,"

NOTE 2:	Non-public networks can use 3GPP authentication methods, identities, and credentials for a UE to access network but are also allowed to utilize non-AKA based authentication methods such as provided by the EAP framework.","

NOTE:	Non-public networks can use 3GPP authentication methods, identities, and credentials for a UE to access network. Non-public networks are also allowed to utilize non-AKA based authentication methods such as provided by the EAP framework, for which the credentials can be stored in the ME.",3.	UE connects to the Untrusted non-3GPP Access Network and obtains an IP address,An UE cannot be paged over Non-3GPP access network.,5.3.3.4	Support of a UE connected over both 3GPP and Non-3GPP access
question 73,What is the purpose of the TRP Measurement Grid? [3GPP Release 18],To calculate the CDF of the EIRP/EIS distribution in 3D,To determine the total power radiated by the DUT in the TX beam peak direction,To determine the TX and RX beam peak direction,To perform TRP measurements taken on the sampling grid,To perform 3D Throughput/RSRP/EIS scans for RX beam peak direction,option 4: To perform TRP measurements taken on the sampling grid,The TRP Measurement Grid is used to perform TRP measurements taken on the sampling grid to determine the total power radiated by the DUT in the TX beam peak direction.,Standards specifications,73,4,8.2.1.3	TRP Measurement Grid,Table A.3.5.1-1: Applicability for TRP measurement grids,Table 5.1.1-1: Applicability for TRP measurement grids,B.2.1.22	Influence of TRP measurement grid,8.5.2	Non-Uniform TRP Measurement Grids
question 74,What action is necessary to get access to services in Idle mode? [3GPP Release 17],Camping on a cell,Performing location registration,Performing CN type selection,Performing RNA update,All of the above,option 1: Camping on a cell,Camping on a cell is necessary to get access to services in Idle mode.,Standards specifications,74,1,"

Step 6: If the UE is in CM-IDLE state in 3GPP access, upon reception of paging request for a PDU Session associated to 3GPP access:","[17]	3GPP TS 38.304: ""NR; User Equipment (UE) procedures in Idle mode and RRC Inactive state""","

5GS to EPS Idle mode mobility using N26 interface (see clause 4.11.1.3.2 of 3GPP TS 23.502 [3]), for PDU sessions associated with 3GPP access;","[21]	3GPP TS 38.304: ""User Equipment (UE) procedures in Idle mode and RRC Inactive state"".",1)	in 5GMM-IDLE mode over 3GPP access when the UE is not in MICO mode; or
question 76,How does EC-GSM-IoT improve coverage performance for Cellular IoT devices? [3GPP Release 14],By increasing the transmit power,By reducing the MS complexity,By using modified channel coding schemes,By adding more timeslot resources,,option 3: By using modified channel coding schemes,EC-GSM-IoT improves the coverage performance of Cellular IoT devices by using modified channel coding schemes.,Standards overview,76,3,"

EC-GSM-IoT improves the coverage performance of Cellular IoT devices by 20 dB compared to EGPRS along and enables long battery life time achieved by energy efficient methods over the radio interface. The extended coverage is achieved by a high number of blind physical layer transmissions along with modified channel coding schemes.","

In Release 13, the base station supporting EC-GSM-IoT requires a minimum of 4 consecutive timeslot resources reserved for packet data operation to support extended coverage operation. Furthermore, the coverage improvement for low power EC-GSM-IoT devices with 23 dBm output power is limited to 10 dB in this release.","

The reference sensitivity performance of the new coverage class mapping is comparable to that for the corresponding higher coverage class with 4 PDCH mapping. This feature allows the network to deploy EC-GSM-IoT services by allocating a minimum number of timeslots (i.e. 2) for EC traffic channel operation. This is illustrated in Fig. 1 below.","

Release 14 39 3GPP TR 21.914 V14.0.0 (2018-05) 730077 Radio Interface Enhancements for Extended CIoT_EC_GSM_radio_enh 1 R6 RP-161806 Coverage GSM for support of Cellular Internet of Things 730177 Core part: Radio Interface Enhancements for CIoT_EC_GSM_radio_enh- 2 R6 RP-161806 Extended Coverage GSM for support of Core Cellular Internet of Things 730277 Perf. part: Radio Interface Enhancements for CIoT_EC_GSM_radio_enh- 2 R6 RP-161806 Extended Coverage GSM for support of Perf Cellular Internet of Things",8.3.4	Radio Interface Enhancements for Extended Coverage GSM for support of Cellular Internet of Things
question 80,What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],The Target NF/NF Service receiving a notification about the decommissioning,The Source NF informing the NRF about the decommissioning,The Source NF sending a request to the Target NF/NF Service,The Target NF/NF Service receiving a request from the Source NF/NF Service,The Target NF/NF Service setting up necessary information about the new context location,option 3: The Source NF sending a request to the Target NF/NF Service,"When triggered, the Source NF/NF Service acting as an NF Service Consumer sends its Context to the Target NF/NF Service acting as an NF Service Producer by sending a request.",Standards specifications,80,3,"4.26.2	NF/NF Service Context Transfer Push Procedure	652

4.26.3	NF/NF Service Context Transfer Pull procedure	652",SMF triggered N3 data transfer establishment procedure (see clause 4.2.10.2 of 3GPP TS 23.502 [3]),"4.26.2	NF/NF Service Context Transfer Push Procedure

Figure 4.26.2-1: NF/NF Service Context Push procedure","

Figure 4.2.2.2.3-1 shows a scenario where the NF service consumer sends a request to the MFAF to update the configuration of mapping data or analytics (as shown in 3GPP TS 23.288 [14])",I-SMF Context Transfer procedure (see clause 4.26.5.2 of 3GPP TS 23.502 [3]);
question 87,Which 5G vertical domain is the maritime domain a part of? [3GPP Release 16],Public safety domain,Automotive domain,Factory automation domain,Satellite industrial domain,None of the above,option 5: None of the above,The maritime domain is one of the 5G vertical domains in 3GPP.,Standards overview,87,5,"

The maritime domain, one of the 5G vertical domains in 3GPP, is moving forward with the digitalisation and mobilisation of commercial as well as safety fields. Legacy 3GPP-based technologies and solutions can be beneficial to the digitalisation and mobilisation of the maritime domain though some of the legacy 3GPP enabling technologies and solutions may not be able to fully support the performances required by the maritime domain. The maritime radio environment was not originally considered by 3GPP when the technical specifications and solutions were standardised for LTE and 5G. ","

However, the maritime domain also has specific situations that do not happen in other vertical domains or in the legacy ICT industrial domain. New 3GPP enabling technologies dedicated to the maritime domain can be used to address such specific situations based on requirements derived from maritime use cases. Other vertical domains may benefit from such new 3GPP enabling technologies that consider maritime domain scenarios and may need more robust technologies or solutions than those that currently exist for those vertical domains.","

In addition, there are service scenarios and requirements specified in 3GPP specifications based on requirements of other related vertical domains (e.g. public safety domain, automotive domain, factory automation domain, and satellite industrial domain). Some requirements derived by service scenarios from these related vertical domains are applicable to the maritime domain. Thus, it is beneficial to use 3GPP enabling technologies developed to satisfy those requirements for the maritime domain in terms of the economy of scale.",,
question 96,What is the purpose of the User Configuration mechanism in the IMS Multimedia Telephony service? [3GPP Release 17],To support synchronization of communication logs between multiple devices,To indicate which identities are active or inactive on a specific UE,To provide user preferences for media handling capabilities,To modify the Caller Identity Analytics function,,option 2: To indicate which identities are active or inactive on a specific UE,The User Configuration mechanism allows an authorized user to indicate which identities are active or inactive on a specific UE.,Standards specifications,96,2,"[5]	3GPP TR 26.914: ""Multimedia telephony over IP Multimedia Subsystem (IMS); Optimization opportunities"".","

1 – Indicates that the IMS SS setting control for services defined by 3GPP TS 22.173 [19] is to be invoked using SIP-based user configuration as defined by 3GPP TS 24.238 [21]","

1 – Indicates that the IMS SS setting control for services defined by 3GPP TS 22.173 [19] is to be invoked using SIP-based user configuration as defined by 3GPP TS 24.238 [21]","[46]	3GPP TS 23.292: ""IP Multimedia Subsystem (IMS) centralized services"".","[34]	3GPP TS 23.292: ""IP Multimedia Subsystem (IMS) centralized services ""."
question 100,What is the purpose of packet buffering in Edge Relocation? [3GPP Release 18],To prevent packet loss during EAS migration,To optimize user plane latency,To enable simultaneous connectivity over source and target PSA,To eliminate the need for EAS IP replacement,,option 1: To prevent packet loss during EAS migration,Packet buffering is used in Edge Relocation to buffer uplink packets and prevent packet loss when the application client sends UL packets to a new EAS before it is ready to handle them.,Standards specifications,100,1,"

Support of uplink packets buffering for low packet loss during EAS relocation as specified in clause 6.3.5 of 3GPP TS 23.548 [69] is defined in clause 5.32.3.","Packet buffering for low Packet Loss.

Edge Relocation considering User Plane Latency Requirements.","

Buffering starts upon request by AF and continues till AF indicates otherwise. The EAS relocation procedure (e.g. the migration of the service context) happens at the application layer. That is outside the scope of 3GPP.","6.3.5	Packet Buffering for Low Packet Loss	42



6.3.6	Edge Relocation Considering User Plane Latency Requirement	43","5.32.3	Uplink packets buffering during EAS relocation	105

5.33	Support of enhancement of Edge Computing (for 5GC)	105"
question 101,What does the Multi-Identity (MiD) service enable? [3GPP Release 16],A user to use different UEs registered under different public user identities,A user to use different identities on a single UE,Call distribution to different members of a group or firm,A user to share identities with another user,A user to use different UEs that are registered under the same public user identity,option 2: A user to use different identities on a single UE,The Multi-Identity (MiD) service enables a user to use different identities on a single UE.,Standards overview,101,2,"

The Multi-Identity (MiD) service is an operator specific service which enables a user to use different identities. A served user can use a single UE to receive calls addressed to any of its identities and to make calls using any of its identities.",,,,
question 108,What is the maximum number of PDU Sessions? [3GPP Release 17],128,32,8,256,64,option 4: 256,The maximum number of PDU Sessions is 256.,Standards specifications,108,4,maxNrofPDU-Sessions-r17                 INTEGER ::= 256     -- Maximum number of PDU Sessions,,,,
question 111,Which identity is used for indication of pre-emption in the downlink? [3GPP Release 17],C-RNTI,CI-RNTI,CS-RNTI,INT-RNTI,P-RNTI,option 4: INT-RNTI,INT-RNTI is used for indication of pre-emption in the downlink.,Standards specifications,111,4,"This parameter is the Temporary Mobile Subscriber Identity defined in 3GPP TS 23.003 [17].

7.6.2.3	IMEI","For more information on the Unavailable User Identity and when it is used, see 3GPP TS 29.163 [63].

13.8	Instance-ID","X-3GPP-Intended-Identity = ""X-3GPP-Intended-Identity"" "":"" DQUOTE identity DQUOTE

   identity = *(%x20-21 / %x23-7E)","6.18	Solution #18: UE creates the identifier in trusted non-3GPP access

6.18.1	Introduction","a)	an ""identity"" attribute set to an identifier of the UE as specified in 3GPP TS 24.174 [8ZH]; and"
