id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1
question 53,When can target UEs be positioned for lawful interception services? [3GPP Release 17],Only if the target UE user authorizes it,Only if the privacy attribute value allows positioning,Under all circumstances required by local regulatory requirements,Never,,option 3: Under all circumstances required by local regulatory requirements,Target UEs can be positioned for lawful interception services under all circumstances required by local regulatory requirements.,Standards specifications,53,3,"Most UE positioning functionality is typically UE-associated, i.e., it assumes that a UE context is present for the UE being positioned. This means that the UE itself has already completed the initial access procedures. Because of this, all observations and mitigations already discussed in Rel-17 are still relevant and applicable.

3GPP



5	Recommendations

In this study, we have identified the need to define a network based solution which aims at verifying the reported UE location information.

The verification should be performed independently from the location information reported by UE.

The UE location information for the study is considered verified if the reported UE location is consistent with the network based assessment to within 5-10 km (similar to terrestrial network macro cell size), enabling country discrimination and selection of an appropriate core network in order to support all the regulatory services (i.e. emergency call, lawful intercept, public warning, charging/billing)."
question 60,What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],Multicast DCI formats,Broadcast DCI formats,Unicast DCI formats,PUCCH DCI formats,,option 2: Broadcast DCI formats,DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI for broadcast scheduling PDSCH receptions are referred to as broadcast DCI formats.,Standards specifications,60,2,"In the following, DCI formats with CRC scrambled by C-RNTI or CS-RNTI or MCS-C-RNTI are also referred to as unicast DCI formats, DCI formats with CRC scrambled by G-RNTI for multicast or G-CS-RNTI are also referred to as multicast DCI formats, and DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI for broadcast scheduling PDSCH receptions are also referred to as broadcast DCI formats, and DCI formats with CRC scrambled by multicast-MCCH-RNTI or G-RNTI for multicast scheduling PDSCH receptions in RRC_INACTIVE state are also referred as multicast DCI formats for RRC_INACTIVE state.

For a DL BWP, if a UE is not provided searchSpaceSIB1 for Type0-PDCCH CSS set by PDCCH-ConfigCommon, the UE does not monitor PDCCH candidates for a Type0-PDCCH CSS set on the DL BWP. The Type0-PDCCH CSS set is defined by the CCE aggregation levels and the number of PDCCH candidates per CCE aggregation level given in Table 10.1-1."
question 70,What kind of access can enterprise UEs have to non-public networks? [3GPP Release 17],Access to the non-public network of the enterprise only,Access to both a non-public network and a PLMN,Access to a PLMN only,Access to a PLMN and a non-public network via a different network,Access to a PLMN and a non-public network via multiple subscriptions,option 2: Access to both a non-public network and a PLMN,"Some enterprise UEs can be restricted to only access the non-public network of the enterprise, while others can access both a non-public network and a PLMN where specifically allowed.",Standards specifications,70,2,"These assumptions may though not hold true in ""enterprise"" environment that will possibly deploy 3GPP based ""private cellular network""/SNPN while it already has a deployed WLAN infrastructure in place. For example in such enterprise environment the identities and credentials used for WLAN authentication could be already provisioned to the ""enterprise"" UEs before the SNPN is deployed. In such network environment also access to specific services can be restricted through using a VPN that runs on top of internet connection provided from WLAN or using application layer authentication and therefore there is possibly no need to have N3IWF in the ""untrusted non-3GPP access"" architecture and there is no need to upgrade the existing WLAN infrastructure to support what is required from TNAP and TGNF in the ""trusted non-3GPP access"" architecture."
question 73,What is the purpose of the TRP Measurement Grid? [3GPP Release 18],To calculate the CDF of the EIRP/EIS distribution in 3D,To determine the total power radiated by the DUT in the TX beam peak direction,To determine the TX and RX beam peak direction,To perform TRP measurements taken on the sampling grid,To perform 3D Throughput/RSRP/EIS scans for RX beam peak direction,option 4: To perform TRP measurements taken on the sampling grid,The TRP Measurement Grid is used to perform TRP measurements taken on the sampling grid to determine the total power radiated by the DUT in the TX beam peak direction.,Standards specifications,73,4,"3GPP TR 38.870 V18.0.0 (2023-12) Technical Report 3rd Generation Partnership Project; Technical Specification Group Radio Access Network; Enhanced Over-the-Air (OTA) test methods for NR FR1 Total Radiated Power (TRP) and Total Radiated Sensitivity (TRS) (Release 18) The present document has been developed within the 3rd Generation Partnership Project (3GPP TM) and may be further elaborated for the purposes of 3GPP.
The present document has not been subject to any approval process by the 3GPP Organizational Partners and shall not be implemented.
This Specification is provided for future development work within 3GPP only. The Organizational Partners accept no liability for any use of this Specification.
Specifications and Reports for implementation of the 3GPP TM system should be obtained via the 3GPP Organizational Partners' Publications Offices.

Release 18
2
3GPP TR 38.870 V18.0.0 (2023-12)

2
3GPP TR 38.870 V18.0.0 (2023-12)
Release 18"
question 74,What action is necessary to get access to services in Idle mode? [3GPP Release 17],Camping on a cell,Performing location registration,Performing CN type selection,Performing RNA update,All of the above,option 1: Camping on a cell,Camping on a cell is necessary to get access to services in Idle mode.,Standards specifications,74,1,"When the UE in 5GMM-CONNECTED mode over 3GPP access receives a fallback indication from lower layers, and the UE has a pending NAS procedure other than a registration procedure, a service request procedure, or a de-registration procedure, the UE shall:

a)	enter 5GMM-IDLE mode;

b)	initiate the service request procedure and include the Uplink data status IE in the SERVICE REQUEST message or the CONTROL PLANE SERVICE REQUEST message indicating the PDU session(s) for which user-plane resources were active prior to receiving the fallback indication, if any (see subclause 5.6.1 for further details); and

c)	upon successful service request procedure completion, proceed with any pending procedure."
question 76,How does EC-GSM-IoT improve coverage performance for Cellular IoT devices? [3GPP Release 14],By increasing the transmit power,By reducing the MS complexity,By using modified channel coding schemes,By adding more timeslot resources,,option 3: By using modified channel coding schemes,EC-GSM-IoT improves the coverage performance of Cellular IoT devices by using modified channel coding schemes.,Standards overview,76,3,"EC-GSM-IoT is an evolution of EGPRS as to provide a streamlined protocol implementation, reducing the MS complexity while supporting energy efficient operation with extended coverage compared to GPRS/EGPRS.

EC-GSM-IoT improves the coverage performance of Cellular IoT devices by 20 dB compared to EGPRS along and enables long battery life time achieved by energy efficient methods over the radio interface. The extended coverage is achieved by a high number of blind physical layer transmissions along with modified channel coding schemes.

In Release 13, the base station supporting EC-GSM-IoT requires a minimum of 4 consecutive timeslot resources reserved for packet data operation to support extended coverage operation. Furthermore, the coverage improvement for low power EC-GSM-IoT devices with 23 dBm output power is limited to 10 dB in this release."
question 80,What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],The Target NF/NF Service receiving a notification about the decommissioning,The Source NF informing the NRF about the decommissioning,The Source NF sending a request to the Target NF/NF Service,The Target NF/NF Service receiving a request from the Source NF/NF Service,The Target NF/NF Service setting up necessary information about the new context location,option 3: The Source NF sending a request to the Target NF/NF Service,"When triggered, the Source NF/NF Service acting as an NF Service Consumer sends its Context to the Target NF/NF Service acting as an NF Service Producer by sending a request.",Standards specifications,80,3,"5.2.2.5.1	General

The following procedures are defined, using the ""LocationContextTransfer"" service operation:

Transfer Location Context

5.2.2.5.2	Transfer Location Context

This procedure allows a NF service consumer (e.g. the old LMF) to transfer location context information for periodic or triggered location for a target UE (see clause 6.4 and clause 6.7.2 of 3GPP TS 23.273 [19]). The NF service consumer discovers the service URI of the new LMF by performing a discovery via NRF using:

the identification of the LMF received (from an AMF) during an earlier Namf_Communication_N1MessageNotify service operation to the consumer NF;

otherwise (if not available),

the identification of an LMF locally provisioned in the consumer NF.

Figure 5.2.2.5.2-1: LocationContextTransfer Request"
question 87,Which 5G vertical domain is the maritime domain a part of? [3GPP Release 16],Public safety domain,Automotive domain,Factory automation domain,Satellite industrial domain,None of the above,option 5: None of the above,The maritime domain is one of the 5G vertical domains in 3GPP.,Standards overview,87,5,"The maritime domain, one of the 5G vertical domains in 3GPP, is moving forward with the digitalisation and mobilisation of commercial as well as safety fields. Legacy 3GPP-based technologies and solutions can be beneficial to the digitalisation and mobilisation of the maritime domain though some of the legacy 3GPP enabling technologies and solutions may not be able to fully support the performances required by the maritime domain. The maritime radio environment was not originally considered by 3GPP when the technical specifications and solutions were standardised for LTE and 5G. 

However, most of the legacy mobile services and IoT services based on capabilities of EPS and 5GS specified in 3GPP specifications are applicable to maritime usage for the support of mobile broadband services, and for the support of IoT services or machine-type communication services in a vessel at sea."
question 96,What is the purpose of the User Configuration mechanism in the IMS Multimedia Telephony service? [3GPP Release 17],To support synchronization of communication logs between multiple devices,To indicate which identities are active or inactive on a specific UE,To provide user preferences for media handling capabilities,To modify the Caller Identity Analytics function,,option 2: To indicate which identities are active or inactive on a specific UE,The User Configuration mechanism allows an authorized user to indicate which identities are active or inactive on a specific UE.,Standards specifications,96,2,"The 3GPP Core Network shall be able provide a standardized interface to enable exposure of the following services and capabilities to 3rd party service providers:

Support of 3rd party requested session QoS and priority

The 3GPP Core Network shall enable a 3rd party service provider to request setting up data sessions with specified QoS (e.g. low latency or jitter) and priority handling to a UE that is served by the 3rd party service provider.

The IMS Multimedia Telephony service supports providing suitable APIs for a trusted third-party (e.g. enterprise call center) to control media components (e.g. establish, modify or terminate voice, video ,data channels ) during an ongoing MMTEL session.

Note: third-party application may be out of scope.

5.7.6	Potential New Requirements needed to support the use case

Void.

6	Consolidated potential requirements

6.1	Media handling capability

The IMS multimedia telephony service shall support AR media processing.

6.2	Authorization and authentication"
question 100,What is the purpose of packet buffering in Edge Relocation? [3GPP Release 18],To prevent packet loss during EAS migration,To optimize user plane latency,To enable simultaneous connectivity over source and target PSA,To eliminate the need for EAS IP replacement,,option 1: To prevent packet loss during EAS migration,Packet buffering is used in Edge Relocation to buffer uplink packets and prevent packet loss when the application client sends UL packets to a new EAS before it is ready to handle them.,Standards specifications,100,1,"NOTE 3:	Steps 6a and 6b are related which implies there is some sort of coordination at application layer that is outside of 3GPP scope.

7.	When EAS relocation is completed, the AF sends a notification response to the SMF. This corresponds to step 4e-g of TS 23.502 [3] Figure 4.3.6.3-1(and is e.g. also described in step 6 or 7 of TS 23.502 [3] Figure 4.3.5.7-1) and may indicate that buffering of uplink traffic to the target DNAI is no more needed as traffic to the target DNAI /EAS is now authorized by the AF.

	If the AF is changed during EAS relocation, see the details indicated in clause 6.3.2.

8.	(if AF has indicated that buffering of uplink traffic to the target DNAI is no more needed as traffic to the target DNAI /EAS is now authorized by the AF) The SMF updates the PSA2 by indicating the PSA2 to send the buffered uplink packets (step 8b) and to stop buffering.

	The SMF releases PSA1.

6.3.6	Edge Relocation Considering User Plane Latency Requirement"
question 101,What does the Multi-Identity (MiD) service enable? [3GPP Release 16],A user to use different UEs registered under different public user identities,A user to use different identities on a single UE,Call distribution to different members of a group or firm,A user to share identities with another user,A user to use different UEs that are registered under the same public user identity,option 2: A user to use different identities on a single UE,The Multi-Identity (MiD) service enables a user to use different identities on a single UE.,Standards overview,101,2,"The Multi-Device (MuD) service is an operator specific service which enables a user to use different UEs that are registered under the same public user identity. The UEs can be of different types (e.g. phone, tablet, wearable device, PC) and can support a communication log.

The Multi-Identity (MiD) service is an operator specific service which enables a user to use different identities. A served user can use a single UE to receive calls addressed to any of its identities and to make calls using any of its identities.

The MuD and MiD services can be used at the same time.

The Stage 1 requirements are document in chapter 4.6 in TS 22.173 [2]. No architecture changes were needed, and stage 3 were defined in the CT1 WID [5] and resulted in TS 24.174 [6] and TS 24.175 [7].

References

List of related CRs: select ""TSG Status = Approved"" in: 
https://portal.3gpp.org/ChangeRequests.aspx?q=1&workitem=810044,800004,810010,810045,810046

[1]	Tdoc SP-180315, “New WID on multi-device and multi-identity (MuD)”"
question 108,What is the maximum number of PDU Sessions? [3GPP Release 17],128,32,8,256,64,option 4: 256,The maximum number of PDU Sessions is 256.,Standards specifications,108,4,"maxNrofPDU-Sessions-r17                 INTEGER ::= 256     -- Maximum number of PDU Sessions

maxNrofSR-ConfigPerCellGroup            INTEGER ::= 8       -- Maximum number of SR configurations per cell group

maxNrofLCGs-r18                         INTEGER ::= 8       -- Maximum number of LCGs

maxLCG-ID                               INTEGER ::= 7       -- Maximum value of LCG ID

maxLCG-ID-IAB-r17                       INTEGER ::= 255     -- Maximum value of LCG ID for IAB-MT

maxLC-ID                                INTEGER ::= 32      -- Maximum value of Logical Channel ID

maxLC-ID-Iab-r16                        INTEGER ::= 65855   -- Maximum value of BH Logical Channel ID extension

maxLTE-CRS-Patterns-r16                 INTEGER ::= 3       -- Maximum number of additional LTE CRS rate matching patterns

maxNrofTAGs                             INTEGER ::= 4       -- Maximum number of Timing Advance Groups"
question 111,Which identity is used for indication of pre-emption in the downlink? [3GPP Release 17],C-RNTI,CI-RNTI,CS-RNTI,INT-RNTI,P-RNTI,option 4: INT-RNTI,INT-RNTI is used for indication of pre-emption in the downlink.,Standards specifications,111,4,"The Pseudonym Identity is to be used as the Pseudonym as specified in 3GPP TS 33.402 [15].

4.4.2	Identification of IP Services/PDN connections"
question 121,What is the purpose of the group identifier called 'External Group ID'? [3GPP Release 14],To identify individual UEs within a group,To resolve the group ID to individual UE ID,To reduce signalling for sending event reports of group members,To indicate the time for which monitoring event reporting can be aggregated,To handle group-based enhancements in the network capability exposure function,option 2: To resolve the group ID to individual UE ID,The group identifier 'External Group ID' is used to identify the group of UEs and is resolved to individual UE ID by the HSS or PCRF.,Standards specifications,121,2,"The External Group Identifier is used on the interface between the SCS/AS and the SCEF and on the interface between the SCEF and the HSS. This identifier is used in procedures such as group message delivery, communication pattern provisioning, and monitoring event configuration and deletion. When the External Group Identifier is used in the communication pattern provisioning or monitoring event configuration and deletion procedures, the HSS shall be able to resolve the External Group Identifier to an IMSI-Group Identifier and the associated External Identifier or MSISDN for each of the IMSIs in the IMSI-Group. The purpose of this association is to enable the SCEF to determine what UE Identifier to use (MSISDN or External Identifier) and derive APN from SCS/AS Identifier and the MSISDN or External Identifier to route non-IP data to the UE when non-IP data is sent to an External Group Identifier."
question 123,When can the V-SMF delete the DNS context from the selected V-EASDF? [3GPP Release 18],When the request for HR-SBO is not authorized,When the V-SMF selects a new V-EASDF,When the UE initiates a Mobility Registration Update procedure,When the AF triggers EAS rediscovery,,option 1: When the request for HR-SBO is not authorized,"If the request for HR-SBO is not authorized and a DNS context had been created, the V-SMF deletes the DNS context from the selected V-EASDF.",Standards specifications,123,1,"12.	(V-SMF change or removal): When the S-AMF invokes Nsmf_PDUSession_ReleaseSMContext Request to inform the Source V-SMF to release the SM context of the PDU Session, e.g. at step 3a or 11a in Figure 4.23.7.3.3-1 of TS 23.502 [3], the DNS context in the old (V-)EASDF is removed by the (source) V-SMF using Neasdf_DNSContext_Delete service.

	(V-SMF insertion): When the target V-SMF sends Nsmf_PDUSession_Update Request with a Handover Complete Indication at step 6 in Figure 4.23.7.3.3-1 of TS 23.502 [3], the DNS context in the old EASDF is removed by the H-SMF using Neasdf_DNSContext_Delete service.

NOTE 4:	Re-selecting the old V-EASDF to reuse the existing DNS context in the case of intra-PLMN inter V-SMF mobility is not supported in this release of the specification."
